                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0715,                 2.0772,                 1.3278,                0.77579,                0.16899,                0.25564,                0.20715,                 1.3852,                 2.8009,                 1.5701,                0.00058,                0.00058,                0.00058
                      2,                 1.0088,                 1.5298,                 1.2678,                0.41469,                0.31707,                0.25171,                0.12236,                 1.6644,                 3.0013,                 1.8643,              0.0011683,              0.0011683,              0.0011683
                      3,                 1.0909,                 1.4567,                 1.2661,                0.73038,                0.26829,                0.29153,                0.15811,                 1.6942,                 3.0613,                 1.9503,              0.0017448,              0.0017448,              0.0017448
                      4,                 1.1244,                 1.4529,                 1.2751,                0.15934,                0.34146,                0.11892,                0.06431,                 1.7138,                 3.1532,                 1.7844,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.092,                 1.3737,                 1.2991,                0.46251,                0.14634,                0.15399,                0.04897,                 2.3291,                 3.4324,                 2.1566,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0277,                 1.2551,                 1.2798,                0.59091,                0.26829,                0.24674,                 0.1845,                 1.6131,                 2.5973,                 1.6545,               0.001901,               0.001901,               0.001901
                      7,                  1.021,                 1.2318,                 1.2413,                0.71889,                0.19512,                0.26621,                0.20904,                 1.2946,                 2.2746,                 1.3623,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0649,                 1.2273,                 1.2429,                0.59623,                0.26829,                0.30266,                0.23298,                 1.3482,                 1.9188,                  1.505,              0.0018614,              0.0018614,              0.0018614
                      9,                0.99363,                 1.1661,                 1.2298,                 0.5158,                0.29268,                0.28589,                0.23797,                 1.5204,                 2.3265,                 1.4952,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0315,                  1.181,                 1.2318,                0.67855,                0.26829,                0.30621,                0.23308,                 1.4619,                 2.0003,                 1.5552,              0.0018218,              0.0018218,              0.0018218
                     11,                 0.9123,                 1.1081,                 1.1766,                0.79045,                0.29268,                0.37588,                0.23397,                 1.4411,                 2.2172,                 1.4296,               0.001802,               0.001802,               0.001802
                     12,                0.97464,                 1.1425,                 1.2017,                0.42284,                0.32176,                0.29239,                0.22861,                  1.441,                 2.0088,                 1.5105,              0.0017822,              0.0017822,              0.0017822
                     13,                0.92129,                 1.0969,                 1.2037,                0.60327,                0.34146,                 0.4034,                 0.2706,                 1.4349,                 1.5614,                 1.5188,              0.0017624,              0.0017624,              0.0017624
                     14,                0.89983,                  1.048,                 1.1522,                0.79834,                0.28984,                0.31875,                0.23806,                 1.3714,                  1.724,                 1.4205,              0.0017426,              0.0017426,              0.0017426
                     15,                0.92051,                 1.0662,                 1.1837,                0.57336,                0.31707,                0.33449,                0.26329,                 1.2994,                 1.7827,                 1.4416,              0.0017228,              0.0017228,              0.0017228
                     16,                0.91025,                 1.0204,                 1.1621,                0.75449,                0.26829,                0.38063,                0.27105,                 1.2867,                 1.5225,                 1.4596,               0.001703,               0.001703,               0.001703
                     17,                0.85357,                 1.0062,                 1.1613,                0.71692,                0.34146,                0.41377,                0.28414,                 1.5096,                 1.6228,                 1.4679,              0.0016832,              0.0016832,              0.0016832
                     18,                0.89912,                 1.0235,                  1.155,                0.76045,                0.34146,                0.41497,                0.30962,                  1.246,                 1.4613,                 1.3262,              0.0016634,              0.0016634,              0.0016634
                     19,                0.85188,                0.95653,                 1.1396,                0.57524,                0.41463,                0.43816,                0.34381,                 1.1775,                 1.3436,                 1.3083,              0.0016436,              0.0016436,              0.0016436
                     20,                0.88136,                 1.0309,                 1.1416,                0.59006,                0.34146,                0.36923,                0.30593,                 1.1735,                 1.5832,                 1.2383,              0.0016238,              0.0016238,              0.0016238
                     21,                0.84917,                0.97843,                 1.1352,                0.48517,                0.39075,                0.41581,                 0.2844,                 1.1184,                 1.5112,                 1.2251,               0.001604,               0.001604,               0.001604
                     22,                0.83939,                0.95976,                 1.1307,                0.74409,                0.29268,                0.38721,                0.26354,                 1.3366,                 1.7908,                 1.4287,              0.0015842,              0.0015842,              0.0015842
                     23,                0.88019,                0.97152,                 1.1462,                0.68584,                0.34146,                0.39523,                0.29757,                 1.3058,                 1.4044,                 1.4392,              0.0015644,              0.0015644,              0.0015644
                     24,                0.86505,                0.99551,                 1.1336,                0.58865,                0.26829,                0.34661,                0.26779,                  1.224,                 1.4955,                 1.2752,              0.0015446,              0.0015446,              0.0015446
                     25,                0.82233,                0.92516,                 1.1245,                0.69392,                0.31707,                0.40299,                0.29498,                 1.2709,                 1.5534,                 1.3222,              0.0015248,              0.0015248,              0.0015248
