epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3163,1.3358,2.65581,1.53075,0.89476,0.19512,0.25731,0.18738,2.02626,2.41709,1.83668,0.000661111,0.000661111,0.000661111
2,117.184,1.25078,2.13934,1.4464,0.82006,0.26829,0.37131,0.23138,1.85264,2.04621,1.94598,0.00119633,0.00119633,0.00119633
3,157.708,1.24524,1.89526,1.42651,0.47461,0.30867,0.29335,0.22461,1.77179,2.15679,1.81473,0.00159954,0.00159954,0.00159954
4,197.138,1.22732,1.74497,1.41396,0.6554,0.29268,0.31377,0.23786,1.73367,2.23995,1.79078,0.001406,0.001406,0.001406
5,236.976,1.1839,1.61957,1.39611,0.81806,0.29268,0.34435,0.25497,1.73501,2.00891,1.76658,0.001208,0.001208,0.001208
6,270.71,1.16874,1.57307,1.35134,0.78174,0.31707,0.39243,0.25748,1.77458,1.8876,1.65173,0.00101,0.00101,0.00101
7,309.135,1.05574,1.41837,1.27632,0.75286,0.31707,0.45163,0.30363,1.68107,1.55394,1.68468,0.000812,0.000812,0.000812
8,349.796,1.04906,1.38132,1.27626,0.5749,0.41463,0.4793,0.30866,1.66664,1.50374,1.6322,0.000614,0.000614,0.000614
9,389.171,0.99186,1.31437,1.22966,0.66108,0.36585,0.50042,0.32886,1.59913,1.48973,1.61612,0.000416,0.000416,0.000416
10,432.809,0.96438,1.26233,1.20506,0.50622,0.37526,0.48216,0.31444,1.58373,1.49492,1.55147,0.000218,0.000218,0.000218
