                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7339,                 2.7577,                 1.6662,                      0,                      0,                      0,                      0,                 1.5394,                 3.2241,                 1.5402,                0.00044,                0.00044,                0.00044
                      2,                 1.5701,                 2.1724,                  1.522,                      0,                      0,                      0,                      0,                 3.2577,                 3.8238,                 2.7099,             0.00089912,             0.00089912,             0.00089912
                      3,                   1.61,                 2.1328,                 1.5103,                0.77163,                0.02439,                0.06929,                0.02964,                 2.9749,                  3.936,                  3.339,              0.0013547,              0.0013547,              0.0013547
                      4,                 1.6587,                 2.0946,                 1.5298,                 0.1031,                0.09756,                0.04773,                0.03179,                 2.7601,                 5.4085,                  2.808,               0.001804,               0.001804,               0.001804
                      5,                 1.6506,                 2.0068,                 1.5266,                0.09795,                0.07317,                0.05299,                0.00791,                 3.4124,                 9.1324,                 3.7564,              0.0019689,              0.0019689,              0.0019689
                      6,                 1.6336,                 1.8839,                 1.5266,                0.03393,                0.07317,                0.01244,                0.00378,                 3.6323,                 12.377,                 3.6396,              0.0019515,              0.0019515,              0.0019515
                      7,                 1.6241,                 1.8728,                 1.4976,                0.08263,                0.17073,                0.04351,                 0.0214,                 2.5084,                 6.1861,                  2.706,              0.0019305,              0.0019305,              0.0019305
                      8,                 1.5659,                 1.8702,                 1.4857,                0.15686,                0.09756,                0.03849,                0.01347,                 2.8299,                 7.1231,                 2.5834,              0.0019058,              0.0019058,              0.0019058
                      9,                 1.5727,                 1.8229,                 1.4658,                0.28322,                0.14634,                0.08178,                0.03966,                 2.3994,                 6.0298,                 2.1982,              0.0018775,              0.0018775,              0.0018775
                     10,                 1.5463,                 1.7958,                 1.4514,                0.16868,                0.02439,                0.07585,                0.01517,                 3.2429,                 3.5857,                  3.046,              0.0018459,              0.0018459,              0.0018459
                     11,                 1.5765,                 1.7556,                 1.4832,                0.17777,                0.09756,                0.08857,                0.07739,                 2.5634,                 3.8042,                 2.2969,              0.0018109,              0.0018109,              0.0018109
                     12,                 1.5192,                   1.65,                 1.4723,                0.32604,                0.07317,                0.07047,                 0.0463,                 2.8173,                 4.2606,                 2.7444,              0.0017728,              0.0017728,              0.0017728
                     13,                 1.4587,                 1.6221,                 1.3936,                0.46711,                0.07317,                0.09519,                0.07054,                 2.5463,                 4.0592,                 2.4877,              0.0017317,              0.0017317,              0.0017317
                     14,                 1.5069,                 1.6887,                 1.4132,                 0.2503,                0.09756,                0.11916,                0.06255,                 2.4186,                 3.7604,                 2.3853,              0.0016877,              0.0016877,              0.0016877
                     15,                 1.4817,                 1.6501,                 1.4337,                0.42127,                0.09756,                0.12047,                0.10294,                 2.2525,                 3.6834,                 2.1667,               0.001641,               0.001641,               0.001641
                     16,                 1.4614,                  1.628,                 1.4262,                 0.3267,                0.09756,                0.11884,                0.07169,                 2.4689,                 3.6994,                 2.3679,              0.0015919,              0.0015919,              0.0015919
                     17,                 1.4526,                 1.5814,                 1.3921,                0.18259,                0.04878,                0.03993,                0.03124,                 2.3794,                 3.8905,                 2.5499,              0.0015405,              0.0015405,              0.0015405
                     18,                 1.4137,                 1.5466,                 1.3666,                0.18454,                0.09756,                0.06773,                0.03118,                 2.3453,                 4.1604,                 2.2768,              0.0014869,              0.0014869,              0.0014869
                     19,                 1.3749,                 1.5025,                 1.3473,                0.64484,                0.14634,                 0.1894,                0.11959,                 2.1217,                 3.4234,                 2.1281,              0.0014315,              0.0014315,              0.0014315
                     20,                 1.3983,                 1.4998,                 1.3721,                0.20447,                0.04878,                0.03508,                0.01393,                 2.6966,                 5.5071,                  2.502,              0.0013744,              0.0013744,              0.0013744
                     21,                 1.3604,                 1.4719,                 1.3144,                0.38789,                0.04878,                 0.0507,                0.04769,                 2.4772,                 4.4908,                 2.3183,              0.0013159,              0.0013159,              0.0013159
